id,species,genotype,site,subsystem,tank,rack,qty
,SIDEREA,SS176,Mote Summerland,,R15,R1450,1
,SIDEREA,SS177,Mote Summerland,,R15,R1450,1
,SIDEREA,SS173,Mote Summerland,,R15,R653,1
,SIDEREA,SS178,Mote Summerland,,R15,R653,1
,SIDEREA,SS179,Mote Summerland,,R15,R653,1
,SIDEREA,SS180,Mote Summerland,,R15,R653,1
,SIDEREA,SS181,Mote Summerland,,R15,R653,1
,SIDEREA,SS182,Mote Summerland,,R15,R653,1
,SIDEREA,SS183,Mote Summerland,,R15,R653,1
,SIDEREA,SS184,Mote Summerland,,R15,R653,1
,SIDEREA,SS185,Mote Summerland,,R15,R653,1
,SIDEREA,SS186,Mote Summerland,,R15,R653,1
,SIDEREA,SS187,Mote Summerland,,R15,R1386,1
,SIDEREA,SS188,Mote Summerland,,R15,R1386,1
,SIDEREA,SS189,Mote Summerland,,R15,R1386,1
,SIDEREA,SS190,Mote Summerland,,R15,R1386,1
,SIDEREA,SS191,Mote Summerland,,R15,R1386,1
,SIDEREA,SS192,Mote Summerland,,R15,R1386,1
,SIDEREA,SS193,Mote Summerland,,R15,R1386,1
,SIDEREA,SS194,Mote Summerland,,R15,R1386,1
,SIDEREA,SS195,Mote Summerland,,R15,R1386,1
,SIDEREA,SS197,Mote Summerland,,R15,R1386,1
,SIDEREA,SS198,Mote Summerland,,R15,R137,1
,SIDEREA,SS199,Mote Summerland,,R15,R137,1
,SIDEREA,SS200,Mote Summerland,,R15,R137,1
,SIDEREA,SS201,Mote Summerland,,R15,R137,1
,SIDEREA,SS202,Mote Summerland,,R15,R137,1
,SIDEREA,SS203,Mote Summerland,,R15,R137,1
,SIDEREA,SS204,Mote Summerland,,R15,R137,1
,SIDEREA,SS205,Mote Summerland,,R15,R137,1
,SIDEREA,SS206,Mote Summerland,,R15,R137,1
,SIDEREA,SS207,Mote Summerland,,R15,R137,1
,SIDEREA,SS208,Mote Summerland,,R15,R137,1
,SIDEREA,SS209,Mote Summerland,,R15,R137,1
,SIDEREA,SS210,Mote Summerland,,R15,R1007,1
,SIDEREA,SS211,Mote Summerland,,R15,R1007,1
,SIDEREA,SS212,Mote Summerland,,R15,R1007,1
,SIDEREA,SS213,Mote Summerland,,R15,R1007,1
,SIDEREA,SS214,Mote Summerland,,R15,R1007,1
,SIDEREA,SS215,Mote Summerland,,R15,R1007,1
,SIDEREA,SS216,Mote Summerland,,R15,R1007,1
,SIDEREA,SS217,Mote Summerland,,R15,R1007,1
,SIDEREA,SS218,Mote Summerland,,R15,R1007,1
,SIDEREA,SS219,Mote Summerland,,R15,R1007,1
,SIDEREA,SS220,Mote Summerland,,R15,R1007,1
,SIDEREA,SS221,Mote Summerland,,R15,R857,1
,SIDEREA,SS222,Mote Summerland,,R15,R857,1
,SIDEREA,SS223,Mote Summerland,,R15,R857,1
,SIDEREA,SS224,Mote Summerland,,R15,R857,1
,SIDEREA,SS225,Mote Summerland,,R15,R857,1
,SIDEREA,SS226,Mote Summerland,,R15,R857,1
,SIDEREA,SS227,Mote Summerland,,R15,R857,1
,SIDEREA,SS228,Mote Summerland,,R15,R857,1
,SIDEREA,SS229,Mote Summerland,,R15,R857,1
,SIDEREA,SS230,Mote Summerland,,R15,R857,1
,SIDEREA,SS231,Mote Summerland,,R15,R857,1
,CN,CN36,Mote Summerland,All Summerland,C3,R95,1
,CN,CN76,Mote Summerland,All Summerland,C3,R95,1
,CN,CN52,Mote Summerland,All Summerland,H1,R478,1
,CN,CN78,Mote Summerland,All Summerland,G7,R2007,1
,CN,CN61,Mote Summerland,All Summerland,H1,R863,1
,CN,CN62,Mote Summerland,All Summerland,H1,R863,1
,CN,CN41,Mote Summerland,All Summerland,H1,R863,1
,RADIANS,SR63,Mote Summerland,All Summerland,H2,R1602,1
,RADIANS,SR60,Mote Summerland,All Summerland,H2,R1602,1
,INTERSEPTA,SI69,Mote Summerland,All Summerland,H2,R1602,1
,RADIANS,SR14,Mote Summerland,All Summerland,H2,R1955,1
,RADIANS,SR15,Mote Summerland,All Summerland,H2,R1955,1
,INTERSEPTA,SI75,Mote Summerland,All Summerland,G10,R1758,1
,RADIANS,SR59,Mote Summerland,All Summerland,G10,R1758,1
,RADIANS,SR13,Mote Summerland,All Summerland,G10,R1758,1
,RADIANS,SR18,Mote Summerland,All Summerland,G10,R1758,1
,RADIANS,SR62,Mote Summerland,All Summerland,G10,R1758,1
,RADIANS,SR66,Mote Summerland,All Summerland,G10,R1758,1
,INTERSEPTA,SI53,Mote Summerland,All Summerland,H2,R2018,1
,RADIANS,SR67,Mote Summerland,All Summerland,H2,R2018,1
,RADIANS,SR61,Mote Summerland,All Summerland,H2,R2018,1
,ASTREOIDES,PA321,Mote Summerland,All Summerland,F9,R1241,1
,ASTREOIDES,PA318,Mote Summerland,All Summerland,F9,R1761,1
,CN,CN64,Mote Summerland,All Summerland,B3,R760,1
,INTERSEPTA,SI108,Mote Summerland,All Summerland,H1,R578,1
,INTERSEPTA,SI109,Mote Summerland,All Summerland,H1,R578,1
,INTERSEPTA,SI110,Mote Summerland,All Summerland,H1,R578,1
,INTERSEPTA,SI111,Mote Summerland,All Summerland,H1,R578,1
,INTERSEPTA,SI112,Mote Summerland,All Summerland,H1,R578,1
,INTERSEPTA,SI114,Mote Summerland,All Summerland,H1,R578,1
,INTERSEPTA,SI73,Mote Summerland,All Summerland,H1,R1681,1
,INTERSEPTA,SI83,Mote Summerland,All Summerland,H1,R1681,1
,ROBUSTA,OR11,Mote Summerland,All Summerland,H1,R1396,1
,FRAGUM,FF2,Mote Summerland,All Summerland,H1,R1396,1
,FRAGUM,FF3,Mote Summerland,All Summerland,H1,R1396,1
,INTERSEPTA,SI79,Mote Summerland,All Summerland,H1,R1693,1
,INTERSEPTA,SI166,Mote Summerland,All Summerland,H1,R1693,1
,INTERSEPTA,SI171,Mote Summerland,All Summerland,H1,R1693,1
,INTERSEPTA,SI82,Mote Summerland,All Summerland,H1,R1693,1
,INTERSEPTA,SI87,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI91,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI89,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI97,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI92,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI96,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI94,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI93,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI95,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI90,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI88,Mote Summerland,All Summerland,H1,R1451,1
,INTERSEPTA,SI59,Mote Summerland,All Summerland,H1,R1724,1
,INTERSEPTA,SI65,Mote Summerland,All Summerland,H1,R1724,1
,INTERSEPTA,SI67,Mote Summerland,All Summerland,H1,R1724,1
,INTERSEPTA,SI84,Mote Summerland,All Summerland,H1,R1724,1
,INTERSEPTA,SI98,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI99,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI100,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI101,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI102,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI103,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI104,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI105,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI106,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI107,Mote Summerland,All Summerland,H1,R1399,1
,INTERSEPTA,SI123,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI124,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI125,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI126,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI127,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI128,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI129,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI130,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI131,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI132,Mote Summerland,All Summerland,H1,R1419,1
,INTERSEPTA,SI134,Mote Summerland,All Summerland,H1,R1934,1
,INTERSEPTA,SI135,Mote Summerland,All Summerland,H1,R1934,1
,INTERSEPTA,SI136,Mote Summerland,All Summerland,H1,R1934,1
,INTERSEPTA,SI142,Mote Summerland,All Summerland,H1,R1934,1
,INTERSEPTA,SI145,Mote Summerland,All Summerland,H1,R1934,1
,INTERSEPTA,SI115,Mote Summerland,All Summerland,H1,R503,1
,INTERSEPTA,SI116,Mote Summerland,All Summerland,H1,R503,1
,INTERSEPTA,SI117,Mote Summerland,All Summerland,H1,R503,1
,INTERSEPTA,SI118,Mote Summerland,All Summerland,H1,R503,1
,INTERSEPTA,SI119,Mote Summerland,All Summerland,H1,R503,1
,INTERSEPTA,SI120,Mote Summerland,All Summerland,H1,R503,1
,INTERSEPTA,SI121,Mote Summerland,All Summerland,H1,R503,1
,INTERSEPTA,SI122,Mote Summerland,All Summerland,H1,R503,1
,INTERSEPTA,SI170,Mote Summerland,All Summerland,H1,R508,1
,INTERSEPTA,SI172,Mote Summerland,All Summerland,H1,R508,1
,INTERSEPTA,SI173,Mote Summerland,All Summerland,H1,R508,1
,INTERSEPTA,SI174,Mote Summerland,All Summerland,H1,R508,1
,INTERSEPTA,SI175,Mote Summerland,All Summerland,H1,R508,1
,INTERSEPTA,SI176,Mote Summerland,All Summerland,H1,R508,1
,INTERSEPTA,SI177,Mote Summerland,All Summerland,H1,R508,1
,INTERSEPTA,SI178,Mote Summerland,All Summerland,H1,R508,1
,INTERSEPTA,SI165,Mote Summerland,All Summerland,H1,R1404,1
,INTERSEPTA,SI164,Mote Summerland,All Summerland,H1,R1404,1
,INTERSEPTA,SI163,Mote Summerland,All Summerland,H1,R1404,1
,INTERSEPTA,SI169,Mote Summerland,All Summerland,H1,R1404,1
,INTERSEPTA,SI86,Mote Summerland,All Summerland,H1,R1404,1
,INTERSEPTA,SI70,Mote Summerland,All Summerland,H1,R1404,1
,INTERSEPTA,SI168,Mote Summerland,All Summerland,H1,R1404,1
,INTERSEPTA,SI52,Mote Summerland,All Summerland,H1,R1726,1
,INTERSEPTA,SI139,Mote Summerland,All Summerland,H1,R1726,1
,INTERSEPTA,SI141,Mote Summerland,All Summerland,H1,R1726,1
,INTERSEPTA,SI143,Mote Summerland,All Summerland,H1,R1726,1
,INTERSEPTA,SI61,Mote Summerland,All Summerland,H1,R1591,1
,INTERSEPTA,SI66,Mote Summerland,All Summerland,H1,R1591,1
,SIDEREA,SS141,Mote Summerland,,R15,R1884,1
,SIDEREA,SS144,Mote Summerland,,R15,R1884,1
,SIDEREA,SS154,Mote Summerland,,R15,R1884,1
,SIDEREA,SS139,Mote Summerland,,R15,R1746,1
,SIDEREA,SS140,Mote Summerland,,R15,R1746,1
,SIDEREA,SS142,Mote Summerland,,R15,R1746,1
,SIDEREA,SS143,Mote Summerland,,R15,R1746,1
,SIDEREA,SS149,Mote Summerland,,R15,R1746,1
,SIDEREA,SS135,Mote Summerland,,R15,R1592,1
,SIDEREA,SS145,Mote Summerland,,R15,R1592,1
,SIDEREA,SS148,Mote Summerland,,R15,R1592,1
,SIDEREA,SS151,Mote Summerland,,R15,R1592,1
,SIDEREA,SS153,Mote Summerland,,R15,R1592,1
,SIDEREA,SS156,Mote Summerland,,R15,R1592,1
,SIDEREA,SS136,Mote Summerland,,R15,R1841,1
,SIDEREA,SS146,Mote Summerland,,R15,R1841,1
,SIDEREA,SS150,Mote Summerland,,R15,R1841,1
,SIDEREA,SS152,Mote Summerland,,R15,R1841,1
,SIDEREA,SS157,Mote Summerland,,R15,R1841,1
,SIDEREA,SS134,Mote Summerland,,R15,R1742,1
,SIDEREA,SS147,Mote Summerland,,R15,R1742,1
,SIDEREA,SS123,Mote Summerland,,R15,R1677,1
,SIDEREA,SS155,Mote Summerland,,R15,R1677,1
,SIDEREA,SS238,Mote Summerland,,R15,R1677,1
,SIDEREA,SS247,Mote Summerland,,R15,R1677,1
,SIDEREA,SS252,Mote Summerland,,R15,R1677,1
,SIDEREA,SS139,Mote Summerland,,R15,R1734,1
,SIDEREA,SS239,Mote Summerland,,R15,R1734,1
,SIDEREA,SS242,Mote Summerland,,R15,R1734,1
,SIDEREA,SS248,Mote Summerland,,R15,R1734,1
,SIDEREA,SS250,Mote Summerland,,R15,R1734,1
,SIDEREA,SS232,Mote Summerland,,R15,R1864,1
,SIDEREA,SS243,Mote Summerland,,R15,R1864,1
,SIDEREA,SS246,Mote Summerland,,R15,R1864,1
,SIDEREA,SS249,Mote Summerland,,R15,R1864,1
,SIDEREA,SS251,Mote Summerland,,R15,R1864,1
,SIDEREA,SS253,Mote Summerland,,R15,R1864,1
,SIDEREA,SS256,Mote Summerland,,R15,R1864,1
,SIDEREA,SS235,Mote Summerland,,R15,R1769,1
,SIDEREA,SS236,Mote Summerland,,R15,R1769,1
,SIDEREA,SS255,Mote Summerland,,R15,R1769,1
,SIDEREA,SS257,Mote Summerland,,R15,R1769,1
,SIDEREA,SS233,Mote Summerland,,R15,R1844,1
,SIDEREA,SS234,Mote Summerland,,R15,R1844,1
,SIDEREA,SS237,Mote Summerland,,R15,R1844,1
,SIDEREA,SS254,Mote Summerland,,R15,R1844,1
,SIDEREA,SS241,Mote Summerland,,R15,R1844,1
,SIDEREA,SS162,Mote Summerland,,R15,R1815,1
,SIDEREA,SS244,Mote Summerland,,R15,R1815,1
,SIDEREA,SS245,Mote Summerland,,R15,R1815,1
,SIDEREA,SS132,Mote Summerland,,R15,R1950,1
,SIDEREA,SS196,Mote Summerland,,R15,R1950,1
,SIDEREA,SS161,Mote Summerland,,R15,R1792,1
,SIDEREA,SS166,Mote Summerland,,R15,R1792,1
,SIDEREA,SS167,Mote Summerland,,R15,R1792,1
,INTERSEPTA,SI62,Mote Summerland,,,R1767,1
,INTERSEPTA,SI63,Mote Summerland,,,R1767,1
,INTERSEPTA,SI64,Mote Summerland,,,R1767,1
,INTERSEPTA,SI68,Mote Summerland,,,R1767,1
,INTERSEPTA,SI71,Mote Summerland,,,R1767,1
,INTERSEPTA,SI60,Mote Summerland,,,R1795,1
,RADIANS,SR65,Mote Summerland,,,R1795,1
,INTERSEPTA,SI48,Mote Summerland,All Summerland,G10,R1804,1
,INTERSEPTA,SI133,Mote Summerland,,,R1795,1
,INTERSEPTA,SI138,Mote Summerland,,,R1795,1
,INTERSEPTA,SI147,Mote Summerland,,,R1795,1
,INTERSEPTA,SI49,Mote Summerland,,,R1902,1
,INTERSEPTA,SI137,Mote Summerland,,,R1902,1
,INTERSEPTA,SI140,Mote Summerland,,,R1902,1
,INTERSEPTA,SI144,Mote Summerland,,,R1902,1
,INTERSEPTA,SI146,Mote Summerland,,,R1902,1
,INTERSEPTA,SI55,Mote Summerland,,,R1777,1
,INTERSEPTA,SI56,Mote Summerland,,,R1777,1
,SIDEREA,SS129,Mote Summerland,,,R1777,1
,RADIANS,SR19,Mote Summerland,,,R1777,1
,SIDEREA,SS130,Mote Summerland,,,R1777,1
,INTERSEPTA,SI51,Mote Summerland,,,R1796,1
,INTERSEPTA,SI57,Mote Summerland,,,R1796,1
,RADIANS,SR16,Mote Summerland,,,R1796,1
,SIDEREA,SS158,Mote Summerland,,,R1796,1
,SIDEREA,SS259,Mote Summerland,,,R1719,1
,SIDEREA,SS266,Mote Summerland,,,R1719,1
,SIDEREA,SS267,Mote Summerland,,,R1719,1
,SIDEREA,SS274,Mote Summerland,,,R1719,1
,SIDEREA,SS287,Mote Summerland,,,R1719,1
,SIDEREA,SS163,Mote Summerland,,R15,R1908,1
,SIDEREA,SS288,Mote Summerland,,R15,R1908,1
,SIDEREA,SS269,Mote Summerland,,R15,R1908,1
,SIDEREA,SS271,Mote Summerland,,R15,R1908,1
,SIDEREA,SS282,Mote Summerland,,R15,R1908,1
,INTERSEPTA,SI152,Mote Summerland,,R15,R1908,1
,SIDEREA,SS260,Mote Summerland,,,R1775,1
,SIDEREA,SS262,Mote Summerland,,,R1775,1
,SIDEREA,SS264,Mote Summerland,,,R1775,1
,SIDEREA,SS273,Mote Summerland,,,R1775,1
,SIDEREA,SS277,Mote Summerland,,,R1775,1
,INTERSEPTA,SI45,Mote Summerland,,R15,R1733,1
,SIDEREA,SS263,Mote Summerland,,R15,R1733,1
,INTERSEPTA,SI158,Mote Summerland,,R15,R1733,1
,INTERSEPTA,SI167,Mote Summerland,,R15,R1733,1
,SIDEREA,SS127,Mote Summerland,All Summerland,G10,R1804,1
,SIDEREA,SS133,Mote Summerland,All Summerland,G10,R1804,1
,RADIANS,SR17,Mote Summerland,All Summerland,G10,R1804,1
,RADIANS,SR20,Mote Summerland,All Summerland,G10,R1804,1
,SIDEREA,SS261,Mote Summerland,,,R1813,1
,SIDEREA,SS268,Mote Summerland,,,R1813,1
,SIDEREA,SS272,Mote Summerland,,,R1813,1
,SIDEREA,SS276,Mote Summerland,,,R1813,1
,SIDEREA,SS280,Mote Summerland,,,R1813,1
,SIDEREA,SS283,Mote Summerland,,,R1813,1
,SIDEREA,SS286,Mote Summerland,,,R1813,1
,INTERSEPTA,SI149,Mote Summerland,All Summerland,G10,R2021,1
,INTERSEPTA,SI151,Mote Summerland,All Summerland,G10,R2021,1
,INTERSEPTA,SI156,Mote Summerland,All Summerland,G10,R2021,1
,INTERSEPTA,SI157,Mote Summerland,All Summerland,G10,R2021,1
,INTERSEPTA,SI159,Mote Summerland,All Summerland,G10,R2021,1
,INTERSEPTA,SI162,Mote Summerland,All Summerland,G10,R2021,1
,SIDEREA,SS270,Mote Summerland,,,R1776,1
,SIDEREA,SS281,Mote Summerland,,,R1776,1
,SIDEREA,SS284,Mote Summerland,,,R1776,1
,SIDEREA,SS285,Mote Summerland,,,R1776,1
,INTERSEPTA,SI150,Mote Summerland,,,R1776,1
,SIDEREA,SS258,Mote Summerland,,,R1789,1
,SIDEREA,SS265,Mote Summerland,,,R1789,1
,SIDEREA,SS278,Mote Summerland,,,R1789,1
,INTERSEPTA,SI148,Mote Summerland,,,R1789,1
,INTERSEPTA,SI153,Mote Summerland,,,R1789,1
,RADIANS,SR64,Mote Summerland,,,R1902,1
,SIDEREA,SS310,Mote Summerland,,,R1813,1
,ASTREOIDES,PA334,Mote Summerland,All Summerland,G10,R1508,1
,ASTREOIDES,PA335,Mote Summerland,All Summerland,G10,R1508,1
,ASTREOIDES,PA336,Mote Summerland,All Summerland,G10,R1508,1
,INTERSEPTA,SI85,Mote Summerland,All Summerland,G9,R1910,1
,SIDEREA,SS122,Mote Summerland,,R15,R1843,1
,SIDEREA,SS131,Mote Summerland,,R15,R1843,1
,INTERSEPTA,SI54,Mote Summerland,,R15,R1740,1
,INTERSEPTA,SI74,Mote Summerland,,R15,R1740,1
,INTERSEPTA,SI47,Mote Summerland,,R15,R1887,1
,INTERSEPTA,SI50,Mote Summerland,,R15,R1794,1
,SIDEREA,SS128,Mote Summerland,,R15,R1794,1
,INTERSEPTA,SI154,Mote Summerland,,R15,R1721,1
,INTERSEPTA,SI155,Mote Summerland,,R15,R1721,1
,INTERSEPTA,SI160,Mote Summerland,,R15,R1721,1
,DL,DL268,Mote Summerland,All Summerland,F5,R63,1
,SIDEREA,SS165,Mote Summerland,,R15,R763,1
,INTERSEPTA,SI46,Mote Summerland,,R15,R866,1
,INTERSEPTA,SI81,Mote Summerland,,R15,R1741,1
,RADIANS,SR22,Mote Summerland,All Summerland,G10,R1133,1
,INTERSEPTA,SI77,Mote Summerland,,R15,R1718,1
,RADIANS,SR21,Mote Summerland,,R15,R1314,1
,SIDEREA,SS463,Mote Summerland,All Summerland,F9,R1725,1
,SIDEREA,SS463,Mote Summerland,,R15,R1861,1
,SIDEREA,SS137,Mote Summerland,All Summerland,G10,R809,1
,INTERSEPTA,SI17,Mote Summerland,All Summerland,H4,R729,1
,MC,MC212,Mote Summerland,All Summerland,H4,R275,1
,PC,PC60,Mote Summerland,All Summerland,H4,R275,1
,PS,PS12,Mote Summerland,All Summerland,C1,R2027,1
,AC,AC?,Mote Summerland,All Summerland,Display,R1633,1
,ASTREOIDES,PA329,Mote Summerland,All Summerland,G10,R1508,1
,ASTREOIDES,PA32,Mote Summerland,All Summerland,G3,R871,1
,OF,OF976,Mote Summerland,All Summerland,G3,R867,1
,PA,PA5?,Mote Summerland,All Summerland,G3,R871,1
,ASTREOIDES,PA24,Mote Summerland,All Summerland,G3,R871,1
,ASTREOIDES,PA96,Mote Summerland,All Summerland,G3,R871,1
,ASTREOIDES,PA54,Mote Summerland,All Summerland,G3,R871,1
,ASTREOIDES,PA71,Mote Summerland,All Summerland,G3,R871,1
,ASTREOIDES,PA90,Mote Summerland,All Summerland,G3,R871,1
,ASTREOIDES,PA63,Mote Summerland,All Summerland,G3,R871,1
,ASTREOIDES,PA29,Mote Summerland,All Summerland,G3,R871,1
,SIDEREA,SS3,Mote Summerland,All Summerland,E4,R324,1
,OF,OF697,Mote Summerland,All Summerland,F7,R1006,1
,OF,OF3,Mote Summerland,All Summerland,F7,R1143,1
,ASTREOIDES,PA73,Mote Summerland,All Summerland,G9,R1324,1
,ASTREOIDES,PA22,Mote Summerland,All Summerland,G9,R1324,1
,ASTREOIDES,PA22,Mote Summerland,All Summerland,G9,R1324,1
,OF,OF700,Mote Summerland,All Summerland,E3,R938,1
,ASTREOIDES,PA98,Mote Summerland,All Summerland,G9,R1324,1
,OF,OF990,Mote Summerland,All Summerland,D5,R1445,1
,SIDEREA,SS434,Mote Summerland,,Unassigned,R22,1
,DL,DL179,Mote Summerland,All Summerland,D4,R289,1
,DL,DL84,Mote Summerland,All Summerland,F7,R1479,1
,LS,DLS7,Mote Summerland,All Summerland,F3,R65,1
,AC,AC2523,Mote Looe Key [In Situ],,,CU-060,1
,AC,AC2519,Mote Looe Key [In Situ],,,CU-044,1
,MC,MC35,Mote Looe Key [In Situ],,,MC MIX1,1
,MC,MC44,Mote Looe Key [In Situ],,,MC MIX2,1
,PS,PS18,Mote Looe Key [In Situ],,,PS MIX1,1
,OF,OF11,Mote Looe Key [In Situ],,,OF MIX1,1
,OF,OF23,Mote Looe Key [In Situ],,,OF MIX1,1
,OF,OF32,Mote Looe Key [In Situ],,,OF MIX1,1
,OF,OF65,Mote Looe Key [In Situ],,,OF MIX1,1
,OF,OF423,Mote Looe Key [In Situ],,,OF MIX2,1
,OF,OF441,Mote Looe Key [In Situ],,,OF MIX2,1
,OF,OF622,Mote Looe Key [In Situ],,,OF MIX2,1
,OF,OF626,Mote Looe Key [In Situ],,,OF MIX2,1
,OF,OF678,Mote Looe Key [In Situ],,,OF MIX3,1
,OF,OF680,Mote Looe Key [In Situ],,,OF MIX3,1
,DS,DS3,Mote Looe Key [In Situ],,,DS MIX1,1
,AC,AC13,Mote Sand Key [In Situ],,,54,1
,AC,AC1962,Mote Sand Key [In Situ],,,1962,1
,AC,AC2533,Mote Sand Key [In Situ],,,FM-20,1
,AC,AC2572,Mote Sand Key [In Situ],,,FM-20,1
,AC,AC55,Mote Sand Key [In Situ],,,55,1
,SIDEREA,SS228,Mote Summerland,All Summerland,E4,R1318,1
,AP,AP35,Mote Looe Key [In Situ],,,CU-TR5,1
,AC,AC57,Mote Islamorada [In Situ],,,Red46,1
,PS,PS51,Mote Summerland,All Summerland,G8,R1453,1
,INTERSEPTA,SI43,Mote Summerland,All Summerland,F1,R719,1
,PS,PS12,Mote Summerland,All Summerland,B5,R1638,1
,OF,OF869,Mote Summerland,All Summerland,C6,R1672,1
,OF,OF863,Mote Summerland,All Summerland,C6,R1672,1
,DL,DL266,Mote Summerland,All Summerland,F5,R63,1
,,PC,Mote Summerland,All Summerland,E1,R1526,1
,MC,MC57,Mote Summerland,All Summerland,F3,R495,1
,MC,MC60,Mote Summerland,All Summerland,F3,R495,1
,MC,MC103,Mote Summerland,All Summerland,B1,R1862,1
,DL,DL250,Mote Summerland,All Summerland,Q7,R1836,1
,MC,MC90,Mote Islamorada [In Situ],,,Red91,1
,OF,OF685,Mote Summerland,All Summerland,D5,R1854,1
,OF,OF693,Mote Summerland,All Summerland,D5,R1854,1
,OF,OF700,Mote Summerland,All Summerland,B3,R1921,1
,PC,PC20,Mote Key Largo [In Situ],,,Red01,1
,OF,OF932,Mote Key Largo [In Situ],,,Red01,1
,MC,MC124,Mote Key Largo [In Situ],,,Red02,1
,AC,AC2603,Mote Key Largo [In Situ],,,Red05,1
,AC,AC2618,Mote Key Largo [In Situ],,,Red05,1
,AC,AC36,Mote Key Largo [In Situ],,,Red05,1
,AC,AC2931,Mote Key Largo [In Situ],,,Red05,1
,AC,AC2935,Mote Key Largo [In Situ],,,Red05,1
,AC,AC2936,Mote Key Largo [In Situ],,,Red05,1
,AC,AC2635,Mote Key Largo [In Situ],,,Red06,1
,AC,AC2638,Mote Key Largo [In Situ],,,Red06,1
,AC,AC2639,Mote Key Largo [In Situ],,,Red06,1
,AC,AC34,Mote Key Largo [In Situ],,,Red07,1
,AC,AC3,Mote Key Largo [In Situ],,,Red08,1
,AC,AC2931,Mote Key Largo [In Situ],,,Blue55,1
,OF,OF932,Mote Key Largo [In Situ],,,Blue91,1
,PC,PC20,Mote Key Largo [In Situ],,,Blue61,1
,AC,AC2603,Mote Key Largo [In Situ],,,Blue45,1
,AC,AC2618,Mote Key Largo [In Situ],,,Blue45,1
,AC,AC2635,Mote Key Largo [In Situ],,,Blue46,1
,AC,AC2638,Mote Key Largo [In Situ],,,Blue46,1
,AC,AC2639,Mote Key Largo [In Situ],,,Blue46,1
,AC,AC34,Mote Key Largo [In Situ],,,Blue27,1
,AC,AC3,Mote Key Largo [In Situ],,,Blue98,1
,AP,AP19-B,Mote Key Largo [In Situ],,Unassigned,R3,1
,AP,AP19-B,Mote Key Largo [In Situ],,Unassigned,R4,1
,DL,DL226,Mote Summerland,All Summerland,F4,R1317,1
,PA,PA422,Mote Summerland,All Summerland,G5,R971,1
,PA,PA423,Mote Summerland,All Summerland,G5,R971,1
,PA,PA424,Mote Summerland,All Summerland,G5,R971,1
,PA,PA425,Mote Summerland,All Summerland,G5,R971,1
,PA,PA426,Mote Summerland,All Summerland,G5,R971,1
,PA,PA427,Mote Summerland,All Summerland,G5,R971,1
,PA,PA428,Mote Summerland,All Summerland,G5,R971,1
,PA,PA429,Mote Summerland,All Summerland,G5,R971,1
,PA,PA430,Mote Summerland,All Summerland,G5,R971,1
,OD,OD14,Mote Summerland,All Summerland,G5,R1918,1
,SB,SB1,Mote Summerland,All Summerland,G5,R1918,1
,SR,SR707,Mote Summerland,All Summerland,G5,R209,1
,SR,SR708,Mote Summerland,All Summerland,G5,R209,1
,SR,SR709,Mote Summerland,All Summerland,G5,R209,1
,SR,SR710,Mote Summerland,All Summerland,G5,R209,1
,SR,SR711,Mote Summerland,All Summerland,G5,R209,1
,SR,SR712,Mote Summerland,All Summerland,G5,R209,1
,SR,SR713,Mote Summerland,All Summerland,G5,R209,1
,SR,SR714,Mote Summerland,All Summerland,G5,R209,1
,SR,SR715,Mote Summerland,All Summerland,G5,R209,1
,SR,SR716,Mote Summerland,All Summerland,G5,R209,1
,SR,SR717,Mote Summerland,All Summerland,G5,R209,1
,SR,SR718,Mote Summerland,All Summerland,G5,R209,1
,SR,SR719,Mote Summerland,All Summerland,G5,R209,1
